recipe_id,recipe_name,category,servings,prep_time,cook_time,description,ingredients,instructions
102.0,Onion Podi Dosa With Chicken Gravy,Non-Vegetarian,1.0,15.0,28.0,Onion podi dosa served with chicken gravy,"Curry Leaves, Idli podi, Oil, Chicken Gravy, Onion, Dosa batter",1. Prepare onion podi dosa\n2. Heat chicken gravy\n3. Serve together
103.0,Onion Podi Dosa With Fish Kolambu(Parai Fish),Non-Vegetarian,1.0,18.0,32.0,Onion podi dosa served with fish kolambu,"Curry Leaves, Idli podi, Oil, Fish Kolambu(Parai Fish), Onion, Dosa batter",1. Prepare onion podi dosa\n2. Heat fish kolambu\n3. Serve together
104.0,Onion Tomato Dosa,Vegetarian,1.0,8.0,12.0,Dosa with onion and tomato topping,"Dosa batter, Onion, Spices, Tomato",1. Spread dosa batter\n2. Add onions and tomatoes\n3. Cook with spices
105.0,Onion Tomato Dosa With Chicken Gravy,Non-Vegetarian,1.0,15.0,28.0,Onion tomato dosa served with chicken gravy,"Dosa batter, Onion, Oil, Chicken gravy, Tomato",1. Prepare onion tomato dosa\n2. Heat chicken gravy\n3. Serve together
106.0,Onion Tomato Dosa With Fish Kolambu(Parai Fish),Non-Vegetarian,1.0,18.0,32.0,Onion tomato dosa served with fish kolambu,"Dosa batter, Onion, Oil, Tomato",1. Prepare onion tomato dosa\n2. Heat fish kolambu\n3. Serve together
107.0,Onion Uttapam,Vegetarian,1.0,8.0,12.0,Thick uttapam with onion and coriander,"Coriander, Onion, Dosa batter, Oil, Tomato Chutni(Cooked), Coconut Chutni(Cooked), Sambhar",1. Pour thick dosa batter\n2. Add onions and coriander\n3. Cook and serve with accompaniments
108.0,Paper Roast,Vegetarian,1.0,5.0,8.0,Ultra-thin crispy dosa,"Oil, Coconut Chutni(Cooked), Tomato Chutni(Cooked), Sambhar, Dosa batter",1. Spread batter very thin\n2. Cook till crispy\n3. Serve with accompaniments
109.0,Paper Roast With Chicken Gravy,Non-Vegetarian,1.0,10.0,22.0,Paper roast served with chicken gravy,"Oil, Chicken Gravy, Dosa batter",1. Prepare paper roast\n2. Heat chicken gravy\n3. Serve together
110.0,Paper Roast With Fish Kolambu(Parai Fish),Non-Vegetarian,1.0,12.0,25.0,Paper roast served with fish kolambu,"Oil, Fish Kolambu(Parai Fish), Dosa batter",1. Prepare paper roast\n2. Heat fish kolambu\n3. Serve together
111.0,Plain Bread Omelette,Non-Vegetarian,1.0,4.0,8.0,Simple bread omelette,"Bread, Eggs, Oil, Pepper, Salt",1. Beat eggs with spices\n2. Dip bread and cook\n3. Serve hot
112.0,Plain Kuli Paniyaram,Vegetarian,2.0,10.0,15.0,Plain round dosa balls,"Chicken gravy, Oil, Dosa batter",1. Pour batter in paniyaram pan\n2. Cook till golden\n3. Serve with gravy
113.0,Plain Kuli Paniyaram With Chicken Gravy,Non-Vegetarian,2.0,15.0,28.0,Plain paniyaram served with chicken gravy,"Chicken Gravy, Oil, Dosa batter",1. Prepare plain paniyaram\n2. Heat chicken gravy\n3. Serve together
114.0,Plain Kuli Paniyaram With Fish Kolambu(Parai Fish),Non-Vegetarian,2.0,18.0,32.0,Plain paniyaram served with fish kolambu,"Fish Kolambu(Parai Fish), Oil, Dosa batter",1. Prepare plain paniyaram\n2. Heat fish kolambu\n3. Serve together
115.0,Plain Rice,Vegetarian,2.0,3.0,25.0,Simple cooked rice,Cooked rice,1. Cook rice in water\n2. Serve hot
116.0,Plain Rice with Chicken Gravy,Non-Vegetarian,2.0,15.0,35.0,Plain rice served with chicken gravy,"Cooked rice, Chicken gravy",1. Cook rice\n2. Heat chicken gravy\n3. Serve together
117.0,Plain Rice with Fish Kolambu(Parai Fish),Non-Vegetarian,2.0,18.0,38.0,Plain rice served with fish kolambu,"Fish Kolambu(Parai Fish), Cooked rice",1. Cook rice\n2. Heat fish kolambu\n3. Serve together
118.0,Plain Uttapam,Vegetarian,1.0,6.0,10.0,Simple thick uttapam,"Dosa batter, Oil, Tomato Chutni(Cooked), Coconut Chutni(Cooked), Sambhar",1. Pour thick dosa batter\n2. Cook till golden\n3. Serve with accompaniments
119.0,Podi Idli,Vegetarian,2.0,12.0,18.0,Idlis with spiced powder tempering,"Urad Dal, kadalai parupu, Curry Leaves, Mustard Urad Dal, Idli podi, Oil, Dosa batter",1. Steam idlis\n2. Prepare podi tempering\n3. Mix and serve
120.0,Sambar,Vegetarian,4.0,30.0,50.0,Traditional South Indian lentil curry,"Fennel Seed, Curry Leaves, Coriander, perugayam, Green Chilli, Mustard Urad Dal, sambhar podi, Garlic, kolambu molaga thool, toovaram parupu, oil, Pasiparupu, tomato, onion, Bringal",1. Cook lentils with vegetables\n2. Prepare spice paste\n3. Combine and simmer
121.0,Sweet Kuli Paniyaram,Vegetarian,2.0,12.0,18.0,Sweet paniyaram with jaggery,"Cardamon, Coconut, Oil, Coconut Chutni(Cooked), Tomato Chutni(Cooked), vellam(jaggery), Dosa batter",1. Mix batter with jaggery\n2. Cook in paniyaram pan\n3. Serve with chutneys
122.0,Sweet Kuli Paniyaram With Chicken Gravy,Non-Vegetarian,2.0,18.0,32.0,Sweet paniyaram served with chicken gravy,"Cardamon, Coconut, Oil, Chicken Gravy, vellam(jaggery), Dosa batter",1. Prepare sweet paniyaram\n2. Heat chicken gravy\n3. Serve together
123.0,Sweet Kuli Paniyaram With Fish Kolambu(Parai Fish),Non-Vegetarian,2.0,22.0,35.0,Sweet paniyaram served with fish kolambu,"Cardamon, Coconut, Oil, Fish Kolambu(Parai Fish), vellam(jaggery), Dosa batter",1. Prepare sweet paniyaram\n2. Heat fish kolambu\n3. Serve together
124.0,Tea(125ml),Beverage,1.0,2.0,4.0,Small cup of tea,"Tea powder, Sugar, Milk",1. Boil water with tea\n2. Add milk and sugar\n3. Serve hot
125.0,Tea(250ml),Beverage,1.0,3.0,5.0,Regular cup of tea,"Tea powder, Sugar, Milk",1. Boil water with tea\n2. Add milk and sugar\n3. Serve hot
126.0,Tea(500ml),Beverage,2.0,4.0,6.0,Large serving of tea,"Tea powder, Sugar, Milk",1. Boil water with tea\n2. Add milk and sugar\n3. Serve hot
127.0,Tea(750ml),Beverage,3.0,5.0,8.0,Extra large serving of tea,"Tea powder, Sugar, Milk",1. Boil water with tea\n2. Add milk and sugar\n3. Serve hot
128.0,Tomato Chutney,Vegetarian,4.0,18.0,28.0,Spicy tomato chutney with aromatic spices,"ginger, Mustard Urad Dal, garlic, Curry Leaves, green chilli, Salt, Dry Chilli, Oil, Tomato, Onion",1. Sauté spices and aromatics\n2. Add tomatoes and onions\n3. Cook till thick consistency
129.0,Tomato Dosa,Vegetarian,1.0,6.0,10.0,Dosa with tomato topping,"Coconut Chutni(Cooked), Tomato Chutni(Cooked), Tomato, Sambhar, Dosa batter",1. Spread dosa batter\n2. Add tomato pieces\n3. Cook and serve with accompaniments
130.0,Tomato Dosa With Chicken Gravy,Non-Vegetarian,1.0,12.0,25.0,Tomato dosa served with chicken gravy,"Chicken Gravy, Tomato, Sambhar, Dosa batter",1. Prepare tomato dosa\n2. Heat chicken gravy\n3. Serve together
131.0,Tomato Dosa With Fish Kolambu(Parai Fish),Non-Vegetarian,1.0,15.0,28.0,Tomato dosa served with fish kolambu,"Fish Kolambu(Parai Fish), Tomato, Sambhar, Dosa batter",1. Prepare tomato dosa\n2. Heat fish kolambu\n3. Serve together
132.0,Tomato Rice,Vegetarian,2.0,25.0,35.0,Flavorful rice cooked with tomatoes and spices,"Mustard Urad Dal, Fennel Seed, green chilli, Coriander, Ginger, garlic, Curry Leaves, Pasiparupu, kadalai parupu, cooked rice, oil, onion, Tomato",1. Cook rice separately\n2. Prepare tomato tempering\n3. Mix and serve hot
133.0,Tomato Uttapam,Vegetarian,1.0,8.0,12.0,Thick uttapam with tomato and coriander,"Tomato, Dosa batter, Oil, Tomato Chutni(Cooked), Coconut Chutni(Cooked), Sambhar, Coriander",1. Pour thick dosa batter\n2. Add tomatoes and coriander\n3. Cook and serve with accompaniments
